names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
A Higher Law,11/4/2021,80,"Drama, Romance","Ecaterina, a high school Religion teacher and wife of the town priest, gets involved with Iuliu, a 16-year-old student with a troubled past. Ecaterina tries to keep him under control, but she loses her own sense of control in this process.","Mălina Manovici, Ecaterina Ivanovici, Alexandru Papadopol, Father Dragos Ivanovici, Voicu Dumitraș, Florin Ivanovici, Richard Bovnoczki, Felix Serghiescu, Ana Maria Moldovan, Zoe, Oana Ștefănescu, The Mother-in-law, Marian Râlea, The Father-in-law, Gabriel Spahiu, The Headmaster, Codrina Patru, The Smoking Lady", Balaur, Released, Romanian,101200000,365969533,GR
The Harder They Fall,11/3/2021,67,Western,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.","Jonathan Majors, Nat Love, Idris Elba, Rufus Buck, Regina King, Trudy Smith, Zazie Beetz, Stagecoach Mary, Delroy Lindo, Bass Reeves, Danielle Deadwyler, Cuffee, Lakeith Stanfield, Cherokee Bill, Edi Gathegi, Bill Pickett, RJ Cyler, Jim Beckwourth",The Harder They Fall, Released, English,128500000,423482425.2,AU
Last Man Down,11/1/2021,58,"Action, Thriller","After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.","Daniel Stisen, John Wood, Olga Kent, Maria Johnson, Daniel Nehme, Commander Stone, Stanislav Yanevski, Dr. Feltspat, Madeleine Vall, Granite, Natassia Malthe, Zahara, Stephanie Siadatan, Emilia, Robert Follin, Adam, Michael Billington, Mason",Last Man Down, Released, English,165000000,250351474.6,AU
The Colony,11/1/2021,57,Science Fiction,"In the not-too-distant future: after a global catastrophe has wiped out nearly all of humanity on Earth, an elite astronaut from Space Colony Kepler must make a decision that will seal the fate of the people on both planets.","Nora Arnezeder, Blake, Iain Glen, Gibson, Sarah-Sofie Boussnina, Narvik, Sope Dirisu, Tucker, Sebastian Roché, Father, Joel Basman, Paling, Kotti Yun, Munay, Bella Bading, Maila, Cloé Heinrich, Young Blake", Tides, Released, English,127000000,495926639.8,AU
Lupin III: The First,11/1/2021,74,"Adventure, Action, Animation","The iconic ""gentleman thief"" Lupin III returns in an action-packed, continent-spanning adventure, as Lupin III and his colorful underworld companions race to uncover the secrets of the mysterious Bresson Diary, before it falls into the hands of a dark cabal that will stop at nothing to resurrect the Third Reich.","Kanichi Kurita, Arsène Lupin III (voice), Kiyoshi Kobayashi, Daisuke Jigen (voice), Miyuki Sawashiro, Fujiko Mine (voice), Daisuke Namikawa, Goemon Ishikawa XIII (voice), Koichi Yamadera, Inspector Koichi Zenigata (voice), Suzu Hirose, Laetitia (voice), Kotaro Yoshida, Lambert (voice), Tatsuya Fujiwara, Geralt (voice), Kazuaki Ito, Bresson (voice)", ルパン三世 THE FIRST, Released, Japanese,5947948,7334393,AU
Phantastische Harry Potter Momente - Das große SAT.1 Spezial,10/31/2021,62,,We don't have an overview translated in English. Help us expand our database by adding one.,,Phantastische Harry Potter Momente - Das große SAT.1 Spezial, Released, German,107200000,356755849,DE
Army of Thieves,10/29/2021,69,"Crime, Comedy",A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,"Matthias Schweighöfer, Ludwig Dieter, Nathalie Emmanuel, Gwendoline, Ruby O. Fee, Korina, Stuart Martin, Brad Cage, Guz Khan, Rolph, Jonathan Cohen, Delacroix, Noémie Nakai, Beatrix, Christian Steyer, Hans Wagner, Dan Bradford, Big Tough Guy",Army of Thieves, Released, English,175200000,393196433,AU
Paranormal Activity: Next of Kin,10/29/2021,62,"Horror, Mystery, Thriller","Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.","Emily Bader, Margot, Ari Notartomaso, Clara, Alexa Shae Niziak, Mary, Dan Lippert, Dale, Kyli Zion, Asmodeus, Jaye Ayres-Brown, Samuel, Wesley Han, Jeremy, Emerald Rose Sullivan, Kendra, Roland Buck III, Chris",Paranormal Activity: Next of Kin, Released, English,89600000,500625176.2,AU
13 Minutes,10/29/2021,62,"Action, Drama, Thriller","As a new day begins in the small American town of Minninnewah, the residents start their day as ordinary as the next. Mother Nature, however, has other plans for them. Inhabitants have just 13 minutes to seek shelter before the largest tornado on record ravages the town, leaving them struggling to protect their loved ones and fighting for their lives. Left to deal with the aftermath, four families must overcome their differences and find strength in each other in order to survive.","Amy Smart, Kim, Thora Birch, Jess, Anne Heche, Tammy, Trace Adkins, Rick, Yancey Arias, Carlos, Tokala Black Elk, Steve, Peter Facinelli, Brad, Will Peltz, Luke, Davi Santos, Daniel",13 Minutes, Released, English,11920689,67413,US
My Hero Academia: World Heroes' Mission,10/28/2021,76,"Animation, Action, Adventure, Science Fiction","A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.","Daiki Yamashita, Izuku Midoriya (voice), Nobuhiko Okamoto, Katsuki Bakugo (voice), Yuki Kaji, Shoto Todoroki (voice), Ryo Yoshizawa, Rody Soul (voice), Kazuya Nakai, Flect Turn (voice), Megumi Hayashibara, Pino (voice), Kenta Miyake, All Might (voice), Tetsu Inada, Endeavor (voice), Yuichi Nakamura, Hawks (voice)", 僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション, Released, Japanese,27164600,38410729,AU
Halloween Kills,10/28/2021,66,"Horror, Thriller","The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.","Jamie Lee Curtis, Laurie Strode, Judy Greer, Karen Nelson, Andi Matichak, Allyson Nelson, James Jude Courtney, The Shape, Nick Castle, The Shape, Airon Armstrong, The Shape (1978), Will Patton, Officer Hawkins, Thomas Mann, Young Hawkins, Jim Cummings, Pete McCabe",Halloween Kills, Released, English,20000000,130851162,AU
The Deer King,10/28/2021,65,"Animation, Drama, Adventure, Fantasy","Following a brutal war, former soldier Van toils in a mine controlled by the ruling empire. One day, his solitary existence is upended when a pack of wild dogs carrying a deadly and incurable disease attack, leaving only Van and a young girl named Yuna as survivors. Finally free, the pair seek out a simple existence in the countryside but are pursued by nefarious forces. Intent on protecting Yuna at all costs, Van must uncover the true cause of the plague ravaging the kingdom—and its possible cure.","Shinichi Tsutsumi, Van (voice), Ryoma Takeuchi, Hohsalle (voice), Anne Watanabe, Sae (voice), Hisui Kimura, Yuna (voice), Atsushi Abe, Yotaru (voice), Yoshito Yasuhara, Tourim (voice), Toru Sakurai, Makokan (voice), Shinshu Fuji, Orphan (voice), Tomomichi Nishimura, Kenoi (voice)", 鹿の王 ユナと約束の旅, Released, Japanese,112600000,404869179.6,AU
Antlers,10/28/2021,63,"Drama, Horror, Mystery","A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.","Keri Russell, Julia Meadows, Jesse Plemons, Paul Meadows, Jeremy Thomas, Lucas Weaver, Graham Greene, Warren Stokes, Scott Haze, Frank Weaver, Sawyer Jones, Aiden Weaver, Rory Cochrane, Dan Lecroy, Amy Madigan, Principal Booth, Cody Davis, Clint Owens",Antlers, Released, English,17000000,18867659,AU
The Medium,10/28/2021,70,"Horror, Thriller",A horrifying story of a shaman’s inheritance in the Isan region of Thailand. But the goddess that appears to have taken possession of a family member turns out not to be as benevolent as it first appears.,"Narilya Gulmongkolpech, Mink, Sawanee Utoomma, Nim, Sirani Yankittikan, Noi, Yasaka Chaisorn, Manit, Boonsong Nakphoo, Santi, Arunee Wattana, Pang, Thanutphon Boonsang, Lisa, Pakapol Srirongmuang, Producer, Akkaradech Rattanawong, Pong", ร่างทรง, Released, Thai,29296922,7230000,TH
The Shadow in My Eye,10/28/2021,78,"War, Drama, History","On March 21st, 1945, the British Royal Air Force set out on a mission to bomb Gestapo's headquarters in Copenhagen. The raid had fatal consequences as some of the bombers accidentally targeted a school and more than 120 people were killed, 86 of whom were children.","Bertram Bisgaard Enevoldsen, Henry, Ester Birch, Rigmor, Ella Josephine Lund Nilsson, Eva, Malena Lucia Lodahl, Greta, Fanny Leander Bornedal, Teresa, Alex Høgh Andersen, Frederik, Alban Lendorf, Peter, James Tarpey, Reggie, Casper Kjær Jensen, Svend Nielsen", Skyggen i mit øje, Released, Danish,87100000,717709172,DK
Hypnotic,10/27/2021,61,"Thriller, Drama, Horror","A young woman seeking self-improvement enlists the help of a renowned hypnotist but, after a handful of intense sessions, discovers unexpected and deadly consequences.","Kate Siegel, Jenn, Jason O'Mara, Dr. Collin Meade, Dulé Hill, Rollins, Lucie Guest, Gina, Jaime M. Callica, Brian, Darien Martin, Squad Leader, Luc Roderique, Scott",Hypnotic, Released, English,114600000,429182744.6,US
Nobody Sleeps in the Woods Tonight 2,10/27/2021,47,"Horror, Thriller, Comedy","When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.","Mateusz Więcławek, Adas Adamiec, Julia Wieniawa-Narkiewicz, Zosia Wolska, Zofia Wichłacz, Wanessa, Andrzej Grabowski, Sergeant Waldemar Gwizdala, Wojciech Mecwaldowski, Oliwier, Izabela Dąbrowska, Janeczka, Sebastian Stankiewicz, Mariusz, Robert Wabich, Slawek, Lech Dyblik, Janusz", W lesie dziś nie zaśnie nikt 2, Released, Polish,105600000,830215344.6,US
Bordertown: The Mural Murders,10/27/2021,66,Crime,"A mural painted with blood is found on the wall of Pasila train station, which depicts Finland's best-known serial killer Lasse Maasalo. The text in the mural, “Making the world a better place”, is linked to a voting circulating in social media, where people can vote for persons that world would be a better place without. Soon the first body is found and Sorjonen must find the person who has named himself as The Judge.","Ville Virtanen, Kari Sorjonen, Anu Sinisalo, Lena Jaakkola, Sampo Sarkola, Lasse Maasalo, Johan Storgård, Tuomas Heikkinen, Olivia Ainali, Janina Sorjonen, Lenita Susi, Katia Jaakkola, Kristiina Halttu, Taina Henttunen, Satu Paavola, Veera Niemi, Tomi Alatalo, Teurastaja Timo Lauermaa", Sorjonen: Muraalimurhat, Released, Finnish,3000000,244880940,FI
A Forbidden Orange,10/23/2021,50,"Documentary, History","Spain, 1970s. A Clockwork Orange, a film considered by critics and audiences as one of the best works in the history of cinema, directed by Stanley Kubrick and released in 1971, was banned by the strict Franco government. However, the film was finally premiered, without going through censorship, during the 20th edition of the Seminci, the Valladolid Film Festival, on April 24, 1975. How was this possible?","Malcolm McDowell, Narrator (voice) / Alex DeLarge, Carmelo Romero, Self, Vicente Molina Foix, Self, Gustavo Martín Garzo, Self, María Calleja, Self, Fernando Herrero, Self, Jesús Ojeda, Self, José Miguel Ortega, Self, María Aurora Viloria, Self", La naranja prohibida, Released," Spanish, Castilian",162200000,516156224.4,ES
Vortex,10/23/2021,72,Drama,"Lui, a struggling author with a heart condition, and his wife Elle, a retired psychiatrist, find their idyllic life shattered when Elle begins to succumb to the effects of dementia.","Dario Argento, Lui, Françoise Lebrun, Elle, Alex Lutz, Stéphane, Kamel Benchemekh, L'épicier, Corinne Bruand, Claire, Nathalie Roubaud, La junkie, Kylian Dheret, Kiki, Philippe Rouyer, ami de la rédaction, Jean-Pierre Bouyxou, ami de la rédaction",Vortex, Released, French,26848000,222230,AU
After We Fell,10/22/2021,71,"Romance, Drama","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","Josephine Langford, Tessa Young, Hero Fiennes Tiffin, Hardin Scott, Louise Lombard, Trish Daniels, Chance Perdomo, Landon Gibson, Rob Estes, Ken Scott, Arielle Kebbel, Kimberly ""Kim"" Vance, Stephen Moyer, Christian Vance, Mira Sorvino, Carol Young, Frances Turner, Karen Scott",After We Fell, Released, English,14000000,21500000,AU
Cube,10/22/2021,55,"Thriller, Mystery, Science Fiction, Horror",Six complete strangers with widely varying personalities are involuntarily placed in an endless maze of interlocking cube-shaped rooms containing deadly traps.,"Masaki Suda, Goto Yuichi, Anne Watanabe, Kai Asako, Masaki Okada, Ochi Shinji, Hikaru Tashiro, Uno Chiharu, Takumi Saitoh, Ide Hiroshi, Kotaro Yoshida, Ando Kazumasa, Tokio Emoto, ", CUBE 一度入ったら、最後, Released, Japanese,250000,8969065,JP
Unlock Your Heart,10/22/2021,40,"Drama, Romance","Ai has had a crush forever on her classmate Tatoe. When she finds out that Tatoe is in a secret relationship with another girl, she sets out to sabotage their plans for the future.","Anna Yamada, Ai Kimura, Haruka Imou, Miyuki Shindo, Sakuma Ryuto, Tatoe Nishimura, Miu Suzuki, Mika, Yuka Itaya, Kimura Yoriko, Misako Tanaka, Shindo Izumi, Taketo Tanaka, Tada, Masato Hagiwara, Nishimura Takashi, Aoba Kawai, Fujitani", ひらいて, Released, Japanese,101800000,567601271.2,JP
Save The Tree,10/22/2021,44,Animation,"In the forests of the Pyrenees, there are still people who tell stories of trees... of fantastic beings with powers beyond our imagination. And with those trees, from the very moment in which their seeds sprout, a pixie becomes their inseparable companion.",, Salvar el árbol, Released," Spanish, Castilian",111000000,881791868.6,ES
Ron's Gone Wrong,10/21/2021,80,"Animation, Science Fiction, Family, Comedy","In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.","Zach Galifianakis, Ron (voice), Jack Dylan Grazer, Barney (voice), Ed Helms, Graham (voice), Olivia Colman, Donka (voice), Justice Smith, Marc (voice), Rob Delaney, Andrew (voice), Kylie Cantrall, Savannah (voice), Ricardo Hurtado, Rich (voice), Marcus Scribner, Alex (voice)",Ron's Gone Wrong, Released, English,30511197,60692022,AU
The Last Duel,10/21/2021,75,"Action, Drama, History","King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.","Jodie Comer, Marguerite de Carrouges, Matt Damon, Sir Jean de Carrouges, Adam Driver, Jacques Le Gris, Ben Affleck, Pierre d'Alençon, Harriet Walter, Nicole de Carrouges, Marton Csokas, Crespin, Alex Lawther, King Charles VI, William Houston, Herald at the Duel, Oliver Cotton, Jean de Carrouges III",The Last Duel, Released, English,100000000,30080003,AU
El Amarre,10/21/2021,70,Horror,"A woman has a crush with a coworker and makes a ritual to make him fall in love with her, but things got a little out of hand when she messes with forces no one can control.","Vadhir Derbez, Daniel, Sofía Espinosa, Julieta, Fabiola Guajardo, Elena, Danae Reynaud, Karla, Jorge Gallegos, Martín",El Amarre, Released," Spanish, Castilian",128800000,366935804,MX
Cop Secret,10/20/2021,61,"Comedy, Action, Thriller","When Bússi, Iceland's toughest cop, is forced to work with a new partner to solve a series of bank robberies, the pressure to close the case as soon as possible proves too much for him.","Auðunn Blöndal, Bússi, Egill Einarsson, Hörður, Steinunn Ólína Þorsteinsdóttir, Þorgerður, Sverrir Þór Sverrisson, Klemenz, Björn Hlynur Haraldsson, Rikki Ferrari, Vivian Ólafsdóttir, Stefanía, Rúrik Gíslason, Ómar, Júlíana Sara Gunnarsdóttir, Lilja Íris, Steinþór Hróar Steinþórsson, Svavar", Leynilögga, Released, Icelandic,58100000,651717830,IS
Night Teeth,10/20/2021,65,"Horror, Thriller, Action","A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions—and their dangerous, shadowy underworld—he must fight to stay alive.","Jorge Lendeborg Jr., Benny, Debby Ryan, Blaire, Lucy Fry, Zoe, Raúl Castillo, Jay Perez, Alfie Allen, Victor, Sydney Sweeney, Eva, Megan Fox, Grace, Alexander Ludwig, Rocko, Bryan Batt, Gio",Night Teeth, Released, English,21700000,181090228.8,AU
Flashback,10/20/2021,63,Thriller,"Frederick Fitzell is living his best life—until he starts having horrific visions of Cindy, a girl who vanished in high school. After reaching out to old friends with whom he used to take a mystery drug called Mercury, Fredrick realizes the only way to stop the visions lies deep within his own memories, so he embarks on a terrifying mental odyssey to learn the truth.","Dylan O'Brien, Fred Fitzell, Hannah Gross, Karen, Emory Cohen, Sebastian, Keir Gilchrist, Andre, Maika Monroe, Cindy Williams, Liisa Repo-Martell, Mrs. Fitzell, Amanda Brugel, Evelyn, Alan C. Peterson, Mr. MacDonald, Aaron Poole, Pierced Man",Flashback, Released, English,6446757.2,26747,AU
The Sword,10/18/2021,53,,"Lord of Darkness Artha was born from human struggle and resentment. In ancient times he formed an army of undead to conquer the world. At the moment of final battle human leaders used blood to forge the holy sword to seal Artha. For thousands of years, legends have fallen one after another, and Artha has made a comeback.","Li Xianshi, Mi Chen, Robert Gilabert Cuenca, , Anita Smirnova, , Long Yangyang, , Hu Dongqing, Mi Chen's mother", 屠魔：王者征途, Released, Chinese,159000000,279278382.2,CN
Yakuza Princess,10/16/2021,63,"Action, Thriller","In Brazil, Akemi finds out that she's the heiress to the Yakuza empire. Just after that, her destiny enters a spiral of violence and mystery, where a gaijin (foreigner) who's been protecting her all this time, Shirô, may have been actually sent to kill her.","Masumi, Akemi, Jonathan Rhys Meyers, Shirô, Tsuyoshi Ihara, Takeshi, Eijiro Ozaki, Kojiro, Toshiji Takeshima, Chiba, Mariko Takai, Mrs. Tsugahara, Kenny Leu, Taxista, Nicolas Trevijano, Wallace, Iuri Saraiva, Tulio", A Princesa da Yakuza, Released, Portuguese,95200000,405026088.6,AU
The Trip,10/15/2021,67,"Comedy, Horror","A dysfunctional couple head to a remote lakeside cabin under the guise of reconnecting, but each has secret designs to kill the other. Before they can carry out their respective plans, unexpected visitors arrive and the couple is faced with a greater danger than anything they could have plotted.","Noomi Rapace, Lisa, Aksel Hennie, Lars, Atle Antonsen, Petter Larsen, Christian Rubeck, Dave, André Eriksen, Roy, Nils Ole Oftebro, Mikkel, Stig Frode Henriksen, Viktor, Tor Erik Gunstrøm, Hans, Selome Emnetu, Ida", I onde dager, Released, Norwegian,76000000,454211306.6,AU
Sharkdog’s Fintastic Halloween,10/15/2021,45,"Animation, Fantasy, Family","The Sharkpack gets ready for Halloween with the spooky legend of the ""Fearsome Fog"" — and Sharkdog must save trick-or-treating from a slimy sea monster!","Liam Mitchell, Max (voice), Dee Bradley Baker, Sharkdog (voice), Grey DeLisle, (voice), Josh McDermitt, Steven Fisher (voice), Kari Wahlgren, Mia/Dennis (voice)",Sharkdog’s Fintastic Halloween, Released, English,114300000,601247524.8,US
Lamb,10/14/2021,65,"Drama, Fantasy, Horror","An Icelandic couple live with their herd of sheep on a beautiful but remote farm. When they discover a mysterious newborn on their land, they decide to keep it and raise it as their own. This unexpected development and the prospects of a new family brings them much joy before ultimately destroying them.","Noomi Rapace, María, Hilmir Snær Guðnason, Ingvar, Björn Hlynur Haraldsson, Pétur, Ingvar E. Sigurðsson, Creature, Ester Bibi, Woman, Sigurður Elvar Viðarson, Truck Driver, Theodór Ingi Ólafsson, Man, Arnþruður Dögg Sigurðardóttir, Woman 2, Gunnar Þor Karlsson, Bus Driver", Dýrið, Released, Icelandic,37595000,3189087,AU
Dogtanian and the Three Muskehounds,10/14/2021,68,"Animation, Comedy, Adventure, Family","France, 17th century, under the reign of Louis XIII. Dogtanian is an impetuous and innocent peasant from Gascony, as well as a skilled swordsman, who travels to Paris with the purpose of making his dream come true: to join the Corps of Muskehounds of the Royal Guard.","Gabriel Jiménez, Porthos (voice), Juan Perucho, Athos (voice), Luis Reina, Aramis (voice), Miguel Ángel Pérez, Dogtanian / Pip (voice), Ana Esther Alborg, Juliette (voice), Antonio Ramírez de Antón, Sandy / Guard #3 / Smuggler #2 / Sailor #2 (voice), Abraham Aguilar, King Louis XIII (voice), Ana Ángeles García, Queen Anne (voice), Juan Antonio Arroyo, Cardinal Richelieu (voice)", D'Artacán y los tres mosqueperros, Released," Spanish, Castilian",97400000,706693307.8,AU
The Wolf and the Lion,10/13/2021,75,"Family, Adventure","After her grandfather's death, 20-year-old Alma decides to go back to her childhood home - a little island in the heart of the majestic Canadian forest. Whilst there, she rescues two helpless cubs: a wolf and a lion. They forge an inseparable bond, but their world soon collapses as the forest ranger discovers the animals and takes them away. The two cub brothers must now embark on a treacherous journey across Canada to be reunited with one another and Alma once more.","Molly Kunz, Alma, Graham Greene, Joe, Charlie Carrick, Eli, Derek Johns, Charles, Rebecca Croll, Ysae, Rhys Slack, Rapha, Evan Buliung, Alan, Daniel Brochu, Mitchell, Victor Cornfoot, Jack", Le Loup et le Lion, Released, English,11900000,15300000,FR
Found,10/13/2021,74,Documentary,Follows the story of three American teenage girls—each adopted from China—who discover they are blood-related cousins on 23andMe. Their online meeting inspires the young women to confront the burning questions they have about their lost history.,,Found, Released, English,79500000,708023892.4,US
